name,screen_name,description,followers_count,followers_count,friends_count,listed_count,favourites_count,created_at
Richard DePaiva,richard_depaiva,Global citizen 🌎,28109,28109,114,15,3628,Thu Nov 15 19:24:25 +0000 2012
will ribeiro,willsjcbm,,2,2,108,0,0,Tue Nov 09 23:23:18 +0000 2021
Karla Silva Araujo,KarlaAraujo3131,Música e Filmes 🎤🎶🎬📺,0,0,50,0,1,Tue Nov 09 23:18:33 +0000 2021
Fabiana Andrade,Fabiana85143104,"Faça da sua personalidade sua melhor qualidade, ela é o que te faz um ser individual.",2,2,193,0,0,Mon Oct 04 20:49:04 +0000 2021
Michelle Santtana,Micsanttana,Tudo que eu quero eu consigo// Modelo,4,4,118,0,1,Wed Apr 01 06:05:40 +0000 2020
William,WilliamSB99,,0,0,42,0,16,Mon Nov 08 23:11:34 +0000 2021
Manoel de Souza Neto,ManoeldeSouzaN8,,0,0,34,0,0,Mon Nov 08 21:02:00 +0000 2021
Lorena,lorivbs,"Leão, 28. Política, tarô e coisas aleatórias. Sou eclética demais pro meu próprio bem.",2,2,241,0,5,Tue Nov 09 22:10:20 +0000 2021
Derick,DRK722,,0,0,20,0,0,Tue Nov 09 21:59:04 +0000 2021
nega 🇻🇳,nega13465325,Não ao racismo.,580,580,669,0,681,Tue Apr 27 18:16:24 +0000 2021
Luis Paulo Burmester,Djlpbabiton,,1,1,135,0,6,Sat Oct 23 14:14:40 +0000 2021
Juh do Rafa ♥️,JuhdoRafa1,Alegre,0,0,15,0,0,Tue Nov 09 21:10:37 +0000 2021
Pop em Cena,popemcena,"Em breve, o seu novo blog sobre o mundo da cultura Pop.",0,0,216,0,2,Tue Nov 09 19:46:52 +0000 2021
Wellingthon Wendell Andrade Vieira,letim21,,2,2,149,0,106,Mon Dec 11 11:39:44 +0000 2017
Dudu Mesquita,DuduBrawmc,"Mc Braw Original 
MC/COMPOSITOR/PRODUTOR/DESIGNER E EDIÇÃO DE VÍDEO",10,10,75,0,6,Tue Nov 09 17:49:48 +0000 2021
poze,poze_gus,,1,1,104,0,0,Wed Dec 16 05:19:54 +0000 2020
𝐖𝐚𝐥𝐥𝐚𝐜𝐞 𝐕𝐢𝐜𝐭𝐨𝐫𝐢𝐧𝐨 ℗,euwall,"Boêmio, marido e pai de família... Usando meu Twitter como bloco de notas.",228,228,148,1,12188,Thu Dec 10 19:42:41 +0000 2020
Nicolas Calixto,ncsnicolas1,,11,11,303,0,5240,Thu Dec 03 18:25:00 +0000 2020
jean karin,jeankarin4,,0,0,4,0,0,Sat Oct 16 01:40:21 +0000 2021
Flavia Sales,FlaviaS40038928,,3,3,330,0,451,Tue Nov 02 00:16:18 +0000 2021
Milena Castro,c58840526,Permita-se recomeçar ❤️,1,1,110,0,0,Tue Nov 09 18:23:27 +0000 2021
ÄNÄ LÜÏZÄ,NLZ16357600,✨❤️◉‿◉,0,0,31,0,0,Tue Nov 09 18:13:08 +0000 2021
Gustave Mikenson,GustaveMikenson,"Ms volonté, mes sacrifices, ma passion, mes sentiments envers les gens qui m'entourent.",1,1,146,0,0,Tue Nov 09 18:00:26 +0000 2021
Kaike Silveira,kaikebmsilveira,"Relações Institucionais e Governamentais. 
Perfil Pessoal, sem fins profissionais. 
RT ≠ Opinião",76,76,837,0,829,Tue Jun 30 04:32:03 +0000 2009
Camille,Camillegau7,,0,0,5,0,1,Tue Nov 09 17:38:15 +0000 2021
Yanna Silva,YannaSi89894018,😉🙂😉🙂😉☺️😉😚🤩,1,1,40,0,5,Tue Nov 09 17:24:49 +0000 2021
Ronnie Jr.,Ronnieronin,,0,0,115,0,0,Sun Nov 07 22:33:02 +0000 2021
Jessica C.,fleursdame,,9,9,283,0,316,Wed Jun 02 02:59:54 +0000 2021
☭L̻̏i̟̋t͉͂t̛͇̗̾l̡̬̅̽̎͢e̠̙͚͐͞͝w̢͍̭̤̝̉͂̄̏̚h͖̏i̪͌t̓eⒶ,boddhiestock,"☿ Seja Marginal, seja Herói ☿",59,59,374,0,8198,Tue Oct 06 11:22:45 +0000 2020
Daniel Polo,danielrpolo,,35,35,191,4,12,Tue Dec 16 20:14:18 +0000 2008
Kleber,Kleber967246319,Digno de um sujeito homen.,2,2,96,0,23,Tue Nov 09 12:31:38 +0000 2021
Davi Lopes,Davisrpms80,"a vida é um sopro ,ame hoje ,viva hoje, pq amanha pode ser tarde .",1,1,72,0,32,Tue Nov 09 16:33:10 +0000 2021
lucas,lucx_png,,15,15,172,0,0,Tue Jun 29 18:58:02 +0000 2021
lilo,lilomadridd,fan account,525,525,144,3,53862,Sat Jul 21 06:12:36 +0000 2018
Eli Cavassana,CavassanaEli,Em um processo contínuo de aprendizagem.,3,3,170,0,3,Mon Oct 04 16:40:36 +0000 2021
Robson ✊🏾,RobsonO65753797,Robnwa✊🏾,2,2,67,0,44,Thu Oct 28 01:55:43 +0000 2021
o sagaz homem fumaça ORIGINAL,rastapcpc,o bgl é fazer arte,287,287,408,0,19815,Thu Nov 02 22:20:17 +0000 2017
…,botinadapnk,“É melhor morrer de pé do que viver de joelhos.” — Emiliano Zapata.,2,2,84,0,62,Sun Nov 07 12:52:24 +0000 2021
Narah Guedes,narah_guedes,Eu tudo aquilo que me trás Paz e Felicidade ♡,4,4,282,0,6,Sat Nov 06 15:14:33 +0000 2021
"Aprendendo a mexer nessa rede anti-social,",Filhodaivet,"Escritor, eterno aprendiZ e poeta. escrevendo o que vejo, o que penso e o que sinto.",1,1,46,0,2,Thu Nov 04 20:28:57 +0000 2021
𝔏𝔄ℜ𝔄,_larat,,179,179,349,0,1572,Wed Jun 17 16:20:44 +0000 2009
16ammp,16ammp,"Estudante, socialista-libertário e rubro-negro carioca.",5,5,282,0,1,Tue Nov 09 12:44:52 +0000 2021
luaxyzk,luaxyzk,,0,0,13,0,1,Tue Nov 09 14:19:24 +0000 2021
Stéphane ILBOUDO,StphaneILBOUDO2,,1,1,19,0,0,Tue Nov 09 14:14:44 +0000 2021
Ralph Galves,Ralphao97,,3,3,126,0,220,Thu Jun 09 12:31:51 +0000 2016
Samuel Mesquita,SamuelMuka91,,0,0,24,0,0,Fri Nov 05 22:38:55 +0000 2021
Maria Pereira,MariaPe51169829,,4,4,72,0,703,Wed Sep 26 17:54:39 +0000 2018
